"2328","4203 9th St NW, Washington, DC, 20011","Match","Exact","4203 9TH ST NW, WASHINGTON, DC, 20011","-77.024997912796,38.941964549192","76223538","R"
"2327","155 Potomac Passage, National Harbor, MD, 20745","Match","Exact","155 POTOMAC PSGE, NATIONAL HARBOR, MD, 20745","-77.015221942383,38.784959243097","649783327","L"
"2326","700 12th St NW Suite 700, Washington, DC, 20005","Match","Exact","700 12TH ST NW, WASHINGTON, DC, 20005","-77.028151172248,38.898373240556","76226159","L"
"2325","9707 Old Georgetown Rd, Bethesda, MD, 20814","Match","Exact","9707 OLD GEORGETOWN RD, BETHESDA, MD, 20814","-77.117293729984,39.01325812087","657336633","L"
"2324","1763 Columbia Rd NW, Washington, DC, 20009","Match","Exact","1763 COLUMBIA RD NW, WASHINGTON, DC, 20009","-77.04151480816,38.923518602474","76223030","R"
"2323","1818 New York Ave NE #208D, Washington, DC, 20002","No_Match"
"2322","3821 S George Mason Dr D, Falls Church, VA, 22041","Match","Non_Exact","3821 S GEORGE MASON DR, FALLS CHURCH, VA, 22041","-77.118900944306,38.841864886235","647365061","L"
"2321","2921 Telestar Ct, Falls Church, VA, 22042","Match","Exact","2921 TELESTAR CT, FALLS CHURCH, VA, 22042","-77.223643660701,38.872374057773","645571443","L"
"2329","2802 Georgia Ave NW, Washington, DC, 20001","Match","Exact","2802 GEORGIA AVE NW, WASHINGTON, DC, 20001","-77.02289394691,38.92623783362","76224193","L"
"1011","245 Lenox Ave, New York, NY, 10027","Match","Exact","245 LENOX AVE, NEW YORK, NY, 10027","-73.946865394991,40.806004970842","59656196","L"
"2342","804 Anderson St, Bellaire, TX, 77401","Match","Exact","804 ANDERSON ST, BELLAIRE, TX, 77401","-95.463784032517,29.713135963731","96033553","R"
"1010","734 St Nicholas Ave, New York, NY, 10031","Match","Exact","734 ST NICHOLAS AVE, NEW YORK, NY, 10031","-73.943888051879,40.825110588161","59656275","R"
"2341","14925 Stuebner Airline #200, Houston, TX, 14925","Match","Non_Exact","14925 STUEBNER AIRLINE RD, HOUSTON, TX, 77069","-95.506778638485,29.999399173424","641871674","L"
"2340","2051 Greenhouse, Suite 270, Houston, TX, 77084","Match","Non_Exact","2051 GREENHOUSE RD, HOUSTON, TX, 77084","-95.706122286333,29.791085664691","656045755","L"
"1008","60 W 125th St, New York, NY, 10027","Match","Exact","60 W 125TH ST, NEW YORK, NY, 10027","-73.944232467145,40.807178411556","642471709","L"
"2339","1900 West Loop South, Suite 300, Houston, TX, 77027","Match","Non_Exact","1900 W LOOP S SVC RD, HOUSTON, TX, 77056","-95.457152131159,29.747127886337","657373314","R"
"1007","84 W 120th St, New York, NY, 10027","Match","Exact","84 W 120TH ST, NEW YORK, NY, 10027","-73.947383296048,40.804339914586","59657742","L"
"2338","201 Flint Ridge Road, Webster, TX, 77598","Match","Exact","201 FLINT RIDGE RD, WEBSTER, TX, 77598","-95.123907241695,29.546337679932","96546264","L"
"1006","173 W 131st St, New York, NY, 10027","Match","Exact","173 W 131ST ST, NEW YORK, NY, 10027","-73.944746845136,40.812473321712","642471982","R"
"2337","3734 Magnolia Ridge, League City, TX, 77573","Match","Exact","3734 MAGNOLIA RIDGE, LEAGUE CITY, TX, 77573","-95.139109978673,29.503376774041","627269506","R"
"1005","273 W 121st St, New York, NY, 10027","Match","Exact","273 W 121ST ST, NEW YORK, NY, 10027","-73.952117622297,40.807284989827","59656114","R"
"2336","502 Kennedy St NW, Washington, DC, 20011","Match","Exact","502 KENNEDY ST NW, WASHINGTON, DC, 20011","-77.019980944123,38.956386992533","76223399","L"
"1004","24 E 125th St, New York, NY, 10035","Match","Exact","24 E 125TH ST, NEW YORK, NY, 10035","-73.94152263595,40.806040532523","59656443","R"
"2335","3447 14th St NW, Washington, DC, 20010","Match","Exact","3447 14TH ST NW, WASHINGTON, DC, 20010","-77.032656547987,38.933321707229","76222968","R"
"1003","2522 Frederick Douglass Blvd, New York, NY, 10030","Match","Exact","2522 FREDERICK DOUGLASS BLVD, NEW YORK, NY, 10030","-73.946682724018,40.81619607034","59656153","R"
"2334","4217 9th St NW, Washington, DC, 20011","Match","Exact","4217 9TH ST NW, WASHINGTON, DC, 20011","-77.025006371378,38.94209988664","76223538","R"
"1002","122 Hamilton Pl, New York, NY, 10031","Match","Exact","122 HAMILTON PL, NEW YORK, NY, 10031","-73.949493993724,40.823796022684","59655951","L"
"2333","3005 12th St NE, Washington, DC, 20017","Match","Exact","3005 12TH ST NE, WASHINGTON, DC, 20017","-76.990539963623,38.927698818827","76228749","R"
"1001","3629 Broadway, New York, NY, 10031","Match","Exact","3629 BROADWAY, NEW YORK, NY, 10031","-73.948463815883,40.829272580281","59655931","L"
"2332","1658 Columbia Road NW, Washington, DC, 20009","Match","Exact","1658 COLUMBIA RD NW, WASHINGTON, DC, 20009","-77.038577319465,38.925210780152","76222914","L"
"1009","2350 Adam Clayton Powell Jr Blvd, New York, NY, 10030","Match","Exact","2350 ADAM CLAYTON POWELL JR BLVD, NEW YORK, NY, 10030","-73.942571744759,40.816970136194","59656398","L"
"1022","191 Malcolm X Blvd, New York, NY, 10026","Match","Exact","191 MALCOLM X BLVD, NEW YORK, NY, 10026","-73.948131336503,40.804269947538","634257252","L"
"2353","1708 Spring Green Blvd, STE 120-315, Katy, TX, 77494","Match","Exact","1708 SPRING GREEN BLVD, KATY, TX, 77494","-95.841818186745,29.764037625654","643690578","R"
"1021","2388 Adam Clayton Powell Jr Blvd, New York, NY, 10030","Match","Exact","2388 ADAM CLAYTON POWELL JR BLVD, NEW YORK, NY, 10030","-73.941705666284,40.818157567126","59656406","L"
"2352","1330 Post Oak Blvd, Floor 22, Houston, TX, 77056","Match","Exact","1330 POST OAK BLVD, HOUSTON, TX, 77056","-95.460822792649,29.751632797142","96032864","R"
"1020","66 Edgecombe Ave, New York, NY, 10030","Match","Exact","66 EDGECOMBE AVE, NEW YORK, NY, 10030","-73.946563481344,40.818831581689","59661027","L"
"2351","11161 Shadow Creek Pkwy, Suite 106, Pearland, TX, 11161","Match","Non_Exact","11161 SHADOW CREEK PKWY, PEARLAND, TX, 77584","-95.391682870423,29.580981520586","642184953","R"
"2350","5840 Darling St, B, Houston, TX, 77007","Match","Non_Exact","5840 DARLING ST, HOUSTON, TX, 77007","-95.427520564286,29.779798927678","96059866","R"
"1019","2373 Adam Clayton Powell Jr Blvd, New York, NY, 10030","Match","Exact","2373 ADAM CLAYTON POWELL JR BLVD, NEW YORK, NY, 10030","-73.941889747713,40.817662686848","59656408","R"
"1018","24 W 120th St, New York, NY, 10027","Match","Exact","24 W 120TH ST, NEW YORK, NY, 10027","-73.94547130669,40.803532296012","59657746","L"
"2349","5120 Woodway, Suite 215, Houston, TX, 77056","Match","Non_Exact","5120 WOODWAY DR, HOUSTON, TX, 77056","-95.466094161985,29.762271652676","96032439","R"
"1017","2283 Adam Clayton Powell Jr Blvd, New York, NY, 10030","Match","Exact","2283 ADAM CLAYTON POWELL JR BLVD, NEW YORK, NY, 10030","-73.944042297621,40.814717881652","59656400","R"
"2348","3808 World Houston Parkway, Houston, TX, 77032","Match","Exact","3808 WORLD HOUSTON PKWY, HOUSTON, TX, 77032","-95.329928624681,29.946191070564","642187488","L"
"1016","2217 Frederick Douglass Blvd, New York, NY, 10026","Match","Exact","2217 FREDERICK DOUGLASS BLVD, NEW YORK, NY, 10026","-73.953729531727,40.806782667882","59656098","L"
"2347","11807 Westheimer Road, Suites 550, #1058, Houston, TX, 11807","Match","Non_Exact","11807 WESTHEIMER RD, HOUSTON, TX, 77077","-95.585275215308,29.736392357624","96023520","R"
"1015","60 W 129th St, New York, NY, 10027","Match","Exact","60 W 129TH ST, NEW YORK, NY, 10027","-73.942453028793,40.809759013088","634257295","L"
"2346","7915 Cypress Creek Pkwy, STE 175, Houston, TX, 77070","No_Match"
"1014","301 W 118th St, New York, NY, 10026","Match","Exact","301 W 118TH ST, NEW YORK, NY, 10026","-73.954445415312,40.805799646598","59657655","R"
"2345","1711 Woodland Springs St., Houston, TX, 77077","Match","Exact","1711 WOODLAND SPRINGS ST, HOUSTON, TX, 77077","-95.582265773967,29.748302115328","96022533","R"
"1013","56 W 117th St, New York, NY, 10026","Match","Exact","56 W 117TH ST, NEW YORK, NY, 10026","-73.94818995671,40.802211072709","652207870","L"
"2344","1980 Post Oak Blvd., Suite 100, Houston, TX, 77056","Match","Exact","1980 POST OAK BLVD, HOUSTON, TX, 77056","-95.461163222368,29.745538400978","96553173","R"
"1012","1775 Madison Ave, New York, NY, 10035","Match","Exact","1775 MADISON AVE, NEW YORK, NY, 10035","-73.944480735538,40.800371224958","652210704","R"
"2343","1302 Merriewod Dr, Friendswood, TX, 77546","Match","Non_Exact","1302 MERRIEWOOD DR, FRIENDSWOOD, TX, 77546","-95.19381971348,29.513586968427","96700650","R"
"1033","1625 Pitkin Ave, Brooklyn, NY, 11212","Match","Exact","1625 PITKIN AVE, BROOKLYN, NY, 11212","-73.913350226762,40.66935324094","59083903","L"
"2364","18011 Channel Hill Dr, Cypress, TX, 18011","Match","Non_Exact","18011 CHANNEL HILL DR, CYPRESS, TX, 77433","-95.720670935855,29.951722105803","627710544","R"
"1032","1727 Pitkin Ave, Brooklyn, NY, 11212","Match","Exact","1727 PITKIN AVE, BROOKLYN, NY, 11212","-73.90935846356,40.669945496887","59083929","L"
"2363","13815 Nathan Ridge Lane, Cypress, TX, 13815","Match","Non_Exact","13815 NATHAN RIDGE LN, CYPRESS, TX, 77429","-95.6411177237,30.002755645884","627777588","L"
"1031","1626 Pitkin Ave, Brooklyn, NY, 11212","Match","Exact","1626 PITKIN AVE, BROOKLYN, NY, 11212","-73.913343279725,40.669237450967","59083903","R"
"2362","808 Travis Street, Suite 1424, Houston, TX, 77002","Match","Exact","808 TRAVIS ST, HOUSTON, TX, 77002","-95.364748921676,29.758912291224","96067696","R"
"1030","1512 Pitkin Ave, Brooklyn, NY, 11212","Match","Exact","1512 PITKIN AVE, BROOKLYN, NY, 11212","-73.917837537983,40.668572409828","59083797","R"
"2361","6711 Cypress Creek Pkwy, Houston, TX, 77069","No_Match"
"2360","5430 Killough St., Houston, TX, 77086","Match","Exact","5430 KILLOUGH ST, HOUSTON, TX, 77086","-95.474505478339,29.903877674973","96586559","R"
"1029","1782 Pitkin Ave, Brooklyn, NY, 11212","Match","Exact","1782 PITKIN AVE, BROOKLYN, NY, 11212","-73.907376059714,40.670130596098","59083935","R"
"1028","1728 Pitkin Ave, Brooklyn, NY, 11212","Match","Exact","1728 PITKIN AVE, BROOKLYN, NY, 11212","-73.909364692,40.669827855457","59083929","R"
"2359","1379 S Voss Rd, Suite C, Houston, TX, 77057","Match","Non_Exact","1379 S VOSS RD, HOUSTON, TX, 77057","-95.501046218806,29.753164043537","645718796","L"
"1027","1580 Pitkin Ave, Brooklyn, NY, 11212","Match","Exact","1580 PITKIN AVE, BROOKLYN, NY, 11212","-73.915128796397,40.668973187761","59083822","R"
